,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[17,3]",0.303279,0.00248659,0.171489,0.20508,0.0374371,0.301272,0.581529,4941.83,5240.99,320.732,0.999943
"prob_resp_class[17,4]",0.565649,0.0042881,0.232471,0.240945,0.157943,0.54892,0.949351,2931.06,2010.14,190.23,1.0016
"prob_resp_class[18,1]",0.0699688,0.00311099,0.125143,0.0227156,0.000588136,0.0170556,0.376729,2495.5,2189.6,161.961,1.00241
"prob_resp_class[18,2]",0.0486512,0.00132016,0.0650352,0.0260438,0.00131663,0.0213888,0.190807,3510.45,3523.02,227.833,1.00155
"prob_resp_class[18,3]",0.457255,0.00309381,0.227221,0.265427,0.0671394,0.47203,0.800498,5482.97,5829.74,355.852,0.999807
"prob_resp_class[18,4]",0.424125,0.00400819,0.256575,0.256609,0.0891989,0.364202,0.917278,3411.33,3303.58,221.4,1.00123
"prob_resp_class[19,1]",0.063182,0.00264798,0.10694,0.0242459,0.000672597,0.0185179,0.314668,2537.29,2044.05,164.674,1.00238
"prob_resp_class[19,2]",0.0522272,0.00115203,0.0587905,0.0335672,0.00199439,0.0289899,0.175719,3695.36,3780.61,239.834,1.00128
"prob_resp_class[19,3]",0.434955,0.00288541,0.215828,0.242633,0.0629315,0.446999,0.766897,5628.86,5710.63,365.321,0.999749
"prob_resp_class[19,4]",0.449636,0.00382765,0.246694,0.250884,0.126747,0.393182,0.918626,3614.98,3905.78,234.617,1.00103
"prob_resp_class[20,1]",0.0465541,0.00211315,0.0843776,0.015569,0.000438149,0.011774,0.242817,2486.55,1975.96,161.38,1.00249
"prob_resp_class[20,2]",0.0745407,0.00191774,0.087094,0.0449682,0.00227395,0.0374953,0.26875,3168.89,2982.32,205.665,1.00162
"prob_resp_class[20,3]",0.30932,0.00228705,0.165673,0.187269,0.0402304,0.308099,0.579352,5398.96,5535.1,350.4,0.999796
"prob_resp_class[20,4]",0.569586,0.00380578,0.218043,0.233987,0.229706,0.542899,0.947154,3076.56,2237.09,199.673,1.00151
"prob_resp_class[21,1]",0.0876597,0.00419832,0.168568,0.0217175,0.000455229,0.0159419,0.522846,2503.75,2046.68,162.497,1.00233
"prob_resp_class[21,2]",0.036005,0.00105584,0.0592736,0.0156199,0.000608698,0.0122965,0.156357,4025.06,4149.02,261.232,1.00123
