,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"y_rep[28,10]",0.391375,0.0054142,0.488089,0.0,0.0,0.0,1.0,8131.57,8131.57,549.765,1.00029
"y_rep[29,1]",0.242375,,0.428547,0.0,0.0,0.0,1.0,,,,
"y_rep[29,2]",0.315125,0.00530627,0.464595,0.0,0.0,0.0,1.0,7669.53,7669.53,518.527,1.00013
"y_rep[29,3]",0.325,0.0052272,0.468404,0.0,0.0,0.0,1.0,8032.41,8032.41,543.061,0.999772
"y_rep[29,4]",0.222375,0.00479891,0.415868,0.0,0.0,0.0,1.0,7539.13,7539.13,509.71,1.00004
"y_rep[29,5]",0.426,0.00540845,0.494525,0.0,0.0,0.0,1.0,8373.61,8373.61,566.129,1.00005
"y_rep[29,6]",0.4775,0.00562529,0.499525,0.0,0.0,0.0,1.0,7908.49,7908.49,534.682,0.999723
"y_rep[29,7]",0.44225,0.00560516,0.496685,0.0,0.0,0.0,1.0,7881.13,7881.13,532.833,1.00031
"y_rep[29,8]",0.46025,0.0055238,0.498449,0.0,0.0,0.0,1.0,8149.8,8149.8,550.997,1.00012
"y_rep[29,9]",0.502375,0.00556821,0.500026,0.0,0.0,1.0,1.0,8076.38,8076.38,546.033,0.99973
"y_rep[29,10]",0.39725,0.0053841,0.489359,0.0,0.0,0.0,1.0,8269.59,8269.59,559.096,0.999922
"y_rep[30,1]",0.24175,,0.42817,0.0,0.0,0.0,1.0,7849.42,7849.42,530.689,1.00102
"y_rep[30,2]",0.30775,0.00509421,0.461591,0.0,0.0,0.0,1.0,8220.26,8220.26,555.761,0.999693
"y_rep[30,3]",0.32375,0.00517786,0.467935,0.0,0.0,0.0,1.0,8174.45,8174.45,552.664,0.999774
"y_rep[30,4]",0.225625,0.00483637,0.418019,0.0,0.0,0.0,1.0,7501.41,7501.41,507.161,0.999987
"y_rep[30,5]",0.43175,0.00556572,0.495351,0.0,0.0,0.0,1.0,7936.08,7936.08,536.548,0.999905
"y_rep[30,6]",0.475375,0.0058266,0.499424,0.0,0.0,0.0,1.0,7364.26,7364.26,497.888,0.999897
"y_rep[30,7]",0.4505,0.00551644,0.497575,0.0,0.0,0.0,1.0,8145.42,8145.42,550.701,1.00037
"y_rep[30,8]",0.4575,0.00556893,0.498222,0.0,0.0,0.0,1.0,8029.61,8029.61,542.871,0.999692
"y_rep[30,9]",0.479375,0.00564906,0.499606,0.0,0.0,0.0,1.0,7852.14,7852.14,530.873,1.00004
"y_rep[30,10]",0.40375,0.00545676,0.490679,0.0,0.0,0.0,1.0,8092.53,8092.53,547.125,1.00021
